,Term,Interbank,Sov,LBPratespread,USDratespread,CDratespread,LBPdeprate,USDdeprate,EMP,Financialdoll,CA,FA,Rem,FApc,CApc,CAratio,rempc,Oil,Tadawol,gdp,gdp3,gdp6,gdp12,dep_sov_spread,M2resratio,portinflow,portoutflow,passenger inflow,passenger outflow,Construction permits ,Cement deliveries,portinflowpc,portoutflowpc,passengerinflowpc,passengeroutflowpc,Constructionpermitspc,Cementdeliveriespc,Dummy_variable2006
2004-01-31,2.5200000000000005,4.0,6.23,3.6000000000000005,5.209999999999999,-3.1499999999999995,7.55,3.41,-0.12467835786865047,0.6606483658017911,-201.62,306.15,321.16,-0.3507719060140809,-0.3276419781905492,1.165650623593013,-0.17085764444673923,0.0056192748826120464,0.7156261173166911,0.07594936708860756,0.0844155844155845,0.07692307692307687,0.0235294117647058,-2.08,2565.6672190271956,364100.15229871584,55930.46561132986,138885.232046222,129296.53365335336,849400.8621490037,267932.29300649156,-0.19231623027170786,0.1849936250571338,0.3529231297859807,0.2020666858026463,0.1696532539797908,0.05894016943449998,0
2004-02-29,2.5999999999999996,3.5,6.2299999999999995,3.6899999999999995,5.2299999999999995,-3.0299999999999994,7.43,3.37,-0.547667962608963,0.6604846694358358,-349.89,334.2,351.22,0.06967960823224395,-2.074270801350936,1.299695080169933,-0.44530781136485664,-0.05717566016073483,0.7784501001898281,0.14379084967320255,0.10000000000000009,0.08860759493670889,-0.07999999999999996,-2.0599999999999996,2511.96904965347,411648.41611753736,59577.70067293523,140412.69910355113,142375.33888048708,726957.7892323369,288217.84508982487,0.2174613025925265,0.6993379919087901,-0.05863053813199326,0.034066727466180335,0.18072855009166067,0.7557895200178304,0
2004-03-31,2.66,6.0,6.37,3.84,5.23,-2.8599999999999994,7.26,3.32,0.7962382328523947,0.6640613065711312,-402.21,211.31,354.61,-0.7980619451266712,-0.04569720264787536,1.315023966916257,0.24215356592405768,0.10793696328165647,0.9241667519236281,0.1338028169014085,0.09740259740259738,0.08280254777070062,0.03105590062111796,-1.9699999999999998,2599.0883050177795,376930.8014020867,52293.91985343852,109090.16913156385,107144.43916654328,712790.9680517814,182508.8034231582,0.18991944064447464,0.5183804252840083,0.546468716143012,0.3971634623106699,0.6059892332482635,-0.033003457108347956,0
2004-04-30,2.71,3.75,5.859999999999999,3.9899999999999993,4.97,-2.7299999999999995,7.13,3.3,0.3017907576101577,0.667325690897484,-546.84,257.8,308.77,3.195963541666667,0.8151160088956753,1.4131584514491222,-0.008604912506020246,0.33244366977141215,0.8439428364470738,0.0844155844155845,0.07692307692307687,0.05555555555555558,0.0059880239520957446,-1.9100000000000001,2631.56992481203,386128.93139630544,61082.354403817786,130985.4847018354,125017.6676381324,776099.6052045592,207343.1940481582,-0.2901812353119253,0.4059221697564608,0.7424728762109485,0.6307782243332114,0.12221135087355517,-0.33603901215007137,0
2004-05-31,2.6900000000000004,4.0,5.380000000000001,4.000000000000001,5.01,-2.6599999999999993,7.06,3.23,-1.463655579614954,0.6686294671897008,-343.62,283.15,306.23,0.10119394858631803,2.5340944153039184,1.251463614542474,-0.024558832898005978,0.4617815308262845,0.9024824482326199,0.10000000000000009,0.08860759493670889,0.0714285714285714,0.042424242424242475,-1.8399999999999999,2476.6173856086834,296594.9878296288,47945.484578249234,136723.17378145544,133736.1869947878,613967.9124962258,196035.36939538043,-0.31596834077389746,0.26417059261095965,0.34897803014339757,0.38186537282675337,-0.30748019832103446,0.2849186237587442,0
2004-06-30,2.6899999999999995,4.0,5.13,4.029999999999999,5.24,-2.5199999999999996,6.92,3.17,0.8768639066159389,0.6706831789497372,-913.8,279.57,305.17,-0.08496710633980287,4.919160513019821,1.602500197800459,-0.021357791104127166,0.2855281961086067,0.5759194564508903,0.09740259740259738,0.08280254777070062,0.04166666666666674,0.035502958579881616,-1.7199999999999998,2591.0654936461387,326362.1443517577,55973.34142085297,143549.35057520884,126622.26039103672,796567.5392323369,216231.0829370471,0.12566342404234665,2.781766841468334,0.21746000395022724,0.17753890547044504,-0.059287608240968015,-0.010348201040545013,0
2004-07-31,2.7299999999999995,3.75,5.25,3.8499999999999996,5.03,-2.5199999999999996,6.92,3.21,-0.41692650452308944,0.6732891360281009,-478.02,371.36,309.83,0.030982787340366524,0.5065712754892999,1.2899428023801003,0.04651084239681147,0.3411077322439595,0.6132018548442888,0.07692307692307687,0.05555555555555558,0.0235294117647058,0.03571428571428581,-1.7599999999999998,2549.1186050967617,343489.72105377435,66412.61545952763,146961.22760481815,140032.31299948532,861379.9729581823,224962.698803593,0.13146134862936054,0.6384350608425846,0.12799976136143298,0.17159398690187877,-0.0998769044209391,-0.05944852834110903,0
2004-08-31,2.7199999999999998,3.75,5.38,3.79,4.870000000000001,-2.54,6.94,3.26,0.043219246571313666,0.674395162044222,-618.04,495.98,331.46,1.5484533963621416,0.1286134292653529,1.3630899925975537,0.11711772437733825,0.4208209029145462,0.5551614563390139,0.08860759493670889,0.0714285714285714,-0.07999999999999996,0.04069767441860472,-1.7700000000000005,2565.509792626728,329102.2533710627,58232.625239425186,146445.92965500752,156730.76936856532,734232.5079823369,256379.6784231582,-0.05318029082042286,0.5947194719471947,0.07037637460715063,0.11937047766162734,-0.07240644968865007,0.027212881833391878,0
2004-09-30,2.67,3.5,5.359999999999999,3.6800000000000006,4.950000000000001,-2.4699999999999998,6.87,3.27,0.8799912528932164,0.6788317044786493,-289.31,-82.54,298.62,-1.3034335710609515,-9.330262021307227,1.1718137546026843,0.05560465198487052,0.6016773954989336,0.4867723558842527,0.08280254777070062,0.04166666666666674,0.03105590062111796,0.04705882352941182,-1.6500000000000004,2669.5325509078143,381387.4743576499,60684.30403007811,132785.0222781454,151741.02516934968,927654.3986073369,267913.6541176027,0.0717982166304787,0.5387139107611547,0.12245047450067537,0.10980110779533514,0.24224000439413107,0.10407168876850403,0
2004-10-31,2.67,3.75,5.31,3.4299999999999997,4.77,-2.4499999999999993,6.85,3.33,2.6822410126284115,0.6998700931308741,451.68,289.53,1469.42,-0.2102722164639137,-1.38471956049572,0.8132223476531326,4.160023878919831,0.6896581798948085,0.6402917611929937,0.05555555555555558,0.0235294117647058,0.0059880239520957446,-0.023391812865497075,-1.63,2912.1130986728217,339266.09060434735,58897.85964901217,109299.7883454049,118290.08959428608,748047.228468448,221272.30342315818,0.25596603988356126,0.24855158654030607,-0.01739182584185439,0.014687818060576285,-0.1697111944599986,-0.07964385589472467,0
