Date,tau,realized_value,conditional_quantile_mean,conditional_quantile_mean_se,conditional_quantile_mean_ci_lower,conditional_quantile_mean_ci_upper,conditional_quantile_obs_ci_lower,conditional_quantile_obs_ci_upper
2004-01-31,0.05,0.06220020555218796,-2.635399920484837,0.118484353390566,-2.869154140384913,-2.4016457005847607,-4.622069711861822,-0.6487301291078522
2004-02-29,0.05,-0.7411545374252949,-2.1367875879638576,0.12975583366742305,-2.3927789725514157,-1.8807962033762995,-4.126196398045846,-0.14737877788186893
2004-03-31,0.05,0.12060332421867623,-2.1841084422820267,0.14493290719345628,-2.470042219100477,-1.8981746654635763,-4.177591311376829,-0.19062557318722484
2004-04-30,0.05,-0.07391528914119382,-1.9378857156008544,0.12413120915720055,-2.1827804475334927,-1.6929909836682164,-3.9258970974538703,0.050125666252161416
2004-05-31,0.05,0.20881797889174306,-1.700257182926081,0.15461785255920776,-2.0052980973872843,-1.395216268464878,-3.6965702305576658,0.2960558647055038
2004-06-30,0.05,0.1551110553317251,-1.4007277917747507,0.11628382329971292,-1.6301406519928576,-1.1713149315566438,-3.3868914519705138,0.5854358684210126
2004-07-31,0.05,0.1567508855292471,-1.4502539001052936,0.10224363530163504,-1.6519672953828894,-1.2485405048276979,-3.4334089919937707,0.5329011917831836
2004-08-31,0.05,0.19542036972194887,-1.4692354916489159,0.11073326111897665,-1.6876978145560924,-1.2507731687417394,-3.4541641077907608,0.515693124492929
2004-09-30,0.05,0.24478082895616257,-1.3538185371726186,0.13946543178368684,-1.6289656960735064,-1.0786713782717308,-3.34578283999032,0.6381457656450824
2004-10-31,0.05,-0.3018933183118753,-1.5542285230440098,0.1856703260594397,-1.9205319292292253,-1.1879251168587943,-3.56081617625821,0.4523591301701899
2004-11-30,0.05,0.30287466367560734,-1.1492066354503607,0.1459159311808826,-1.4370797907500057,-0.8613334801507158,-3.1429686017319307,0.8445553308312093
2004-12-31,0.05,0.2786886590168993,-1.7983560843631303,0.10575467286496518,-2.0069963001294258,-1.589715868596835,-3.782227694191696,0.18551552546543548
2005-01-31,0.05,-0.031188734005015702,-1.2755242888017522,0.11821728097985781,-1.508751609569281,-1.0422969680342233,-3.26213215342959,0.7110835758260858
2005-02-28,0.05,0.8435545504300633,-2.133497578338273,0.12457032774469219,-2.3792586341349944,-1.8877365225415517,-4.121615864858242,-0.1453792918183041
2005-03-31,0.05,0.8612654037629528,-4.678582002108411,0.23102879423601877,-5.1343717669652085,-4.222792237251613,-6.703417831107146,-2.653746173109676
2005-04-30,0.05,0.8495791439818252,-5.392904570233414,0.3216721638131051,-6.027521914751825,-4.758287225715003,-7.4653318906990505,-3.3204772497677775
2005-05-31,0.05,0.8721363430942344,-5.094060935914013,0.2731552132664718,-5.6329606468173345,-4.555161225010691,-7.139208540137352,-3.048913331690674
2005-06-30,0.05,0.6334167273446211,-4.5849164620698195,0.28258996321801494,-5.142429707602524,-4.027403216537115,-6.635047395350226,-2.5347855287894134
2005-07-31,0.05,-1.5920432013234698,-3.9008021624993643,0.21155927004456512,-4.318181088211883,-3.4834232367868454,-5.91733904346081,-1.8842652815379188
2005-08-31,0.05,-2.678039150731473,-3.5385501612688213,0.19709540013871057,-3.9273937527382246,-3.149706569799418,-5.549374659646441,-1.5277256628912022
2005-09-30,0.05,-1.0358478694700237,-3.326099515270986,0.1789600687714828,-3.6791644565214714,-2.9730345740205006,-5.3303127467882785,-1.3218862837536935
2005-10-31,0.05,-0.25977580398356126,-3.1384183049231957,0.2049344087852934,-3.542727240959503,-2.7341093688868883,-5.1522905800209955,-1.1245460298253955
2005-11-30,0.05,0.19179047561190427,-3.184198566937205,0.15319704941659687,-3.486436421578874,-2.881960712295536,-5.180085223395226,-1.1883119104791842
2005-12-31,0.05,-0.3734133470257703,-3.3458242820732913,0.19969348042437976,-3.7397935480561255,-2.951855016090457,-5.357646244173276,-1.3340023199733064
2006-01-31,0.05,-0.03220227586691115,-3.435233263380717,0.16683867527602084,-3.7643842716978506,-3.1060822550635834,-5.435372311278378,-1.4350942154830553
